scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter,ts
2023-09-07 11:00:00,in_time,0.0,80.0,8.0,,9999.0,,,,FEW,1300.0,OVC,1700.0,,,,,16.0,13.0,30.3,0
2023-09-08 14:00:00,in_time,0.0,30.0,11.0,,10000.0,,,,,,,,,,,,27.0,14.0,30.12,0
2023-09-09 14:00:00,in_time,0.0,310.0,14.0,,10000.0,,,,,,,,,,,,26.0,13.0,30.12,0
2023-09-09 11:00:00,in_time,0.0,60.0,3.0,,10000.0,,,,,,,,,,,,21.0,16.0,30.15,0
2023-09-10 10:00:00,in_time,0.0,80.0,2.0,,9000.0,,,,NSC,,,,,,,,18.0,15.0,30.18,0
2023-09-11 11:00:00,in_time,0.0,60.0,10.0,,7000.0,,,,BKN,900.0,,,,,,,19.0,17.0,30.15,0
2023-09-12 14:00:00,delayed,23.0,350.0,9.0,,10000.0,,,,,,,,,,,,28.0,10.0,30.15,0
2023-09-12 10:00:00,in_time,0.0,80.0,7.0,,10000.0,,,,,,,,,,,,18.0,12.0,30.15,0
2023-09-13 14:00:00,in_time,0.0,330.0,11.0,,10000.0,,,,,,,,,,,,30.0,11.0,30.0,0
2023-09-14 14:00:00,in_time,0.0,270.0,13.0,,9999.0,-RA,,,SCT,3600.0,OVC,10000.0,,,,,22.0,15.0,30.03,0
2023-09-14 11:00:00,in_time,0.0,320.0,5.0,,10000.0,,,,,,,,,,,,23.0,14.0,29.97,0
2023-09-15 14:00:00,in_time,0.0,140.0,4.0,,9999.0,,,,BKN,3000.0,,,,,,,17.0,13.0,30.21,0
2023-09-16 14:00:00,in_time,0.0,180.0,3.0,,10000.0,,,,,,,,,,,,22.0,15.0,30.12,0
2023-09-16 11:00:00,in_time,0.0,70.0,7.0,,9999.0,,,,BKN,900.0,,,,,,,15.0,14.0,30.15,0
2023-09-17 10:00:00,in_time,0.0,70.0,6.0,,10000.0,,,,,,,,,,,,18.0,17.0,30.12,0
2023-09-18 11:00:00,in_time,0.0,50.0,4.0,,10000.0,,,,,,,,,,,,24.0,17.0,30.15,0
2023-09-19 14:00:00,in_time,0.0,60.0,8.0,,10000.0,,,,,,,,,,,,27.0,12.0,30.12,0
2023-09-19 10:00:00,in_time,0.0,80.0,2.0,,10000.0,,,,,,,,,,,,21.0,17.0,30.12,0
2023-09-20 14:00:00,in_time,0.0,90.0,5.0,,10000.0,,,,,,,,,,,,26.0,13.0,30.15,0
2023-09-21 14:00:00,in_time,0.0,100.0,5.0,,10000.0,,,,,,,,,,,,25.0,18.0,30.09,0
2023-09-21 11:00:00,in_time,0.0,70.0,6.0,,8000.0,,,,OVC,900.0,,,,,,,19.0,17.0,30.12,0
2023-09-22 14:00:00,in_time,0.0,320.0,8.0,19.0,10000.0,,,,,,,,,,,,31.0,12.0,30.0,0
2023-09-23 14:00:00,in_time,0.0,50.0,4.0,,10000.0,,,,,,,,,,,,29.0,14.0,30.0,0
2023-09-23 11:00:00,in_time,0.0,50.0,4.0,,7000.0,,,,NSC,,,,,,,,22.0,18.0,30.03,0
2023-09-24 10:00:00,in_time,0.0,80.0,3.0,,9000.0,,,,NSC,,,,,,,,20.0,16.0,30.0,0
2023-09-25 11:00:00,in_time,0.0,80.0,5.0,,9999.0,,,,BKN,1300.0,,,,,,,22.0,19.0,30.03,0
2023-09-26 14:00:00,in_time,0.0,90.0,5.0,,10000.0,,,,,,,,,,,,27.0,20.0,29.91,0
2023-09-26 10:00:00,in_time,0.0,70.0,12.0,,9999.0,,,,BKN,900.0,,,,,,,21.0,19.0,29.94,0
2023-09-28 11:00:00,in_time,0.0,170.0,5.0,,9000.0,,,,OVC,1100.0,,,,,,,15.0,14.0,30.09,0
2023-09-29 14:00:00,in_time,0.0,80.0,7.0,,9999.0,,,,BKN,1900.0,,,,,,,19.0,15.0,30.18,0
2023-09-30 14:00:00,in_time,0.0,60.0,7.0,,9999.0,,,,BKN,1400.0,,,,,,,20.0,17.0,30.09,0
2023-09-30 11:00:00,in_time,0.0,60.0,11.0,,8000.0,,,,OVC,700.0,,,,,,,17.0,16.0,30.12,0
2023-09-01 07:00:00,in_time,0.0,100.0,2.0,,10000.0,,,,,,,,,,,,10.0,9.0,30.12,0
2023-09-03 07:00:00,delayed,16.0,50.0,8.0,,9999.0,,,,FEW,900.0,,,,,,,19.0,18.0,30.03,0
2023-09-04 07:00:00,in_time,0.0,70.0,5.0,,10000.0,,,,,,,,,,,,21.0,18.0,30.0,0
2023-09-06 07:00:00,in_time,0.0,110.0,3.0,,9000.0,,,,BKN,800.0,OVC,1100.0,,,,,16.0,15.0,30.27,0
2023-09-08 07:00:00,delayed,37.0,70.0,11.0,,4000.0,BR,,,BKN,200.0,,,,,,,16.0,16.0,30.12,0
2023-09-09 07:00:00,in_time,0.0,70.0,6.0,,10000.0,,,,,,,,,,,,17.0,15.0,30.06,0
